"Code","Label"
"A01","01 Crop and animal production, hunting and related service activities"
"A01.1","01.1 Growing of non-perennial crops"
"A01.11","01.11 Growing of cereals (except rice), leguminous crops and oil seeds"
"A01.12","01.12 Growing of rice"
"A01.13","01.13 Growing of vegetables and melons, roots and tubers"
"A01.14","01.14 Growing of sugar cane"
"A01.15","01.15 Growing of tobacco"
"A01.16","01.16 Growing of fibre crops"
"A01.19","01.19 Growing of other non-perennial crops"
"A01.2","01.2 Growing of perennial crops"
"A01.21","01.21 Growing of grapes"
"A01.22","01.22 Growing of tropical and subtropical fruits"
"A01.23","01.23 Growing of citrus fruits"
"A01.24","01.24 Growing of pome fruits and stone fruits"
"A01.25","01.25 Growing of other tree and bush fruits and nuts"
"A01.26","01.26 Growing of oleaginous fruits"
"A01.27","01.27 Growing of beverage crops"
"A01.28","01.28 Growing of spices, aromatic, drug and pharmaceutical crops"
"A01.29","01.29 Growing of other perennial crops"
"A01.3","01.3 Plant propagation"
"A01.30","01.30 Plant propagation"
"A01.4","01.4 Animal production"
"A01.41","01.41 Raising of dairy cattle"
"A01.42","01.42 Raising of other cattle and buffaloes"
"A01.43","01.43 Raising of horses and other equines"
"A01.44","01.44 Raising of camels and camelids"
"A01.45","01.45 Raising of sheep and goats"
"A01.46","01.46 Raising of swine/pigs"
"A01.47","01.47 Raising of poultry"
"A01.49","01.49 Raising of other animals"
"A01.5","01.5 Mixed farming"
"A01.50","01.50 Mixed farming"
"A01.6","01.6 Support activities to agriculture and post-harvest crop activities"
"A01.61","01.61 Support activities for crop production"
"A01.62","01.62 Support activities for animal production"
"A01.63","01.63 Post-harvest crop activities"
"A01.64","01.64 Seed processing for propagation"
"A01.7","01.7 Hunting, trapping and related service activities"
"A01.70","01.70 Hunting, trapping and related service activities"
"A02","02 Forestry and logging"
"A02.1","02.1 Silviculture and other forestry activities"
"A02.10","02.10 Silviculture and other forestry activities"
"A02.2","02.2 Logging"
"A02.20","02.20 Logging"
"A02.3","02.3 Gathering of wild growing non-wood products"
"A02.30","02.30 Gathering of wild growing non-wood products"
"A02.4","02.4 Support services to forestry"
"A02.40","02.40 Support services to forestry"
"A03","03 Fishing and aquaculture"
"A03.1","03.1 Fishing"
"A03.11","03.11 Marine fishing"
"A03.12","03.12 Freshwater fishing"
"A03.2","03.2 Aquaculture"
"A03.21","03.21 Marine aquaculture"
"A03.22","03.22 Freshwater aquaculture"
"B05","05 Mining of coal and lignite"
"B05.1","05.1 Mining of hard coal"
"B05.10","05.10 Mining of hard coal"
"B05.2","05.2 Mining of lignite"
"B05.20","05.20 Mining of lignite"
"B06","06 Extraction of crude petroleum and natural gas"
"B06.1","06.1 Extraction of crude petroleum"
"B06.10","06.10 Extraction of crude petroleum"
"B06.2","06.2 Extraction of natural gas"
"B06.20","06.20 Extraction of natural gas"
"B07","07 Mining of metal ores"
"B07.1","07.1 Mining of iron ores"
"B07.10","07.10 Mining of iron ores"
"B07.2","07.2 Mining of non-ferrous metal ores"
"B07.21","07.21 Mining of uranium and thorium ores"
"B07.29","07.29 Mining of other non-ferrous metal ores"
"B08","08 Other mining and quarrying"
"B08.1","08.1 Quarrying of stone, sand and clay"
"B08.11","08.11 Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
"B08.12","08.12 Operation of gravel and sand pits; mining of clays and kaolin"
"B08.9","08.9 Mining and quarrying n.e.c."
"B08.91","08.91 Mining of chemical and fertiliser minerals"
"B08.92","08.92 Extraction of peat"
"B08.93","08.93 Extraction of salt"
"B08.99","08.99 Other mining and quarrying n.e.c."
"B09","09 Mining support service activities"
"B09.1","09.1 Support activities for petroleum and natural gas extraction"
"B09.10","09.10 Support activities for petroleum and natural gas extraction"
"B09.9","09.9 Support activities for other mining and quarrying"
"B09.90","09.90 Support activities for other mining and quarrying"
"C10","10 Manufacture of food products"
"C10.1","10.1 Processing and preserving of meat and production of meat products"
"C10.11","10.11 Processing and preserving of meat"
"C10.12","10.12 Processing and preserving of poultry meat"
"C10.13","10.13 Production of meat and poultry meat products"
"C10.2","10.2 Processing and preserving of fish, crustaceans and molluscs"
"C10.20","10.20 Processing and preserving of fish, crustaceans and molluscs"
"C10.3","10.3 Processing and preserving of fruit and vegetables"
"C10.31","10.31 Processing and preserving of potatoes"
"C10.32","10.32 Manufacture of fruit and vegetable juice"
"C10.39","10.39 Other processing and preserving of fruit and vegetables"
"C10.4","10.4 Manufacture of vegetable and animal oils and fats"
"C10.41","10.41 Manufacture of oils and fats"
"C10.42","10.42 Manufacture of margarine and similar edible fats"
"C10.5","10.5 Manufacture of dairy products"
"C10.51","10.51 Operation of dairies and cheese making"
"C10.52","10.52 Manufacture of ice cream"
"C10.6","10.6 Manufacture of grain mill products, starches and starch products"
"C10.61","10.61 Manufacture of grain mill products"
"C10.62","10.62 Manufacture of starches and starch products"
"C10.7","10.7 Manufacture of bakery and farinaceous products"
"C10.71","10.71 Manufacture of bread; manufacture of fresh pastry goods and cakes"
"C10.72","10.72 Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes"
"C10.73","10.73 Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"C10.8","10.8 Manufacture of other food products"
"C10.81","10.81 Manufacture of sugar"
"C10.82","10.82 Manufacture of cocoa, chocolate and sugar confectionery"
"C10.83","10.83 Processing of tea and coffee"
"C10.84","10.84 Manufacture of condiments and seasonings"
"C10.85","10.85 Manufacture of prepared meals and dishes"
"C10.86","10.86 Manufacture of homogenised food preparations and dietetic food"
"C10.89","10.89 Manufacture of other food products n.e.c."
"C10.9","10.9 Manufacture of prepared animal feeds"
"C10.91","10.91 Manufacture of prepared feeds for farm animals"
"C10.92","10.92 Manufacture of prepared pet foods"
"C11","11 Manufacture of beverages"
"C11.0","11.0 Manufacture of beverages"
"C11.01","11.01 Distilling, rectifying and blending of spirits"
"C11.02","11.02 Manufacture of wine from grape"
"C11.03","11.03 Manufacture of cider and other fruit wines"
"C11.04","11.04 Manufacture of other non-distilled fermented beverages"
"C11.05","11.05 Manufacture of beer"
"C11.06","11.06 Manufacture of malt"
"C11.07","11.07 Manufacture of soft drinks; production of mineral waters and other bottled waters"
"C12","12 Manufacture of tobacco products"
"C12.0","12.0 Manufacture of tobacco products"
"C12.00","12.00 Manufacture of tobacco products"
"C13","13 Manufacture of textiles"
"C13.1","13.1 Preparation and spinning of textile fibres"
"C13.10","13.10 Preparation and spinning of textile fibres"
"C13.2","13.2 Weaving of textiles"
"C13.20","13.20 Weaving of textiles"
"C13.3","13.3 Finishing of textiles"
"C13.30","13.30 Finishing of textiles"
"C13.9","13.9 Manufacture of other textiles"
"C13.91","13.91 Manufacture of knitted and crocheted fabrics"
"C13.92","13.92 Manufacture of made-up textile articles, except apparel"
"C13.93","13.93 Manufacture of carpets and rugs"
"C13.94","13.94 Manufacture of cordage, rope, twine and netting"
"C13.95","13.95 Manufacture of non-wovens and articles made from non-wovens, except apparel"
"C13.96","13.96 Manufacture of other technical and industrial textiles"
"C13.99","13.99 Manufacture of other textiles n.e.c."
"C14","14 Manufacture of wearing apparel"
"C14.1","14.1 Manufacture of wearing apparel, except fur apparel"
"C14.11","14.11 Manufacture of leather clothes"
"C14.12","14.12 Manufacture of workwear"
"C14.13","14.13 Manufacture of other outerwear"
"C14.14","14.14 Manufacture of underwear"
"C14.19","14.19 Manufacture of other wearing apparel and accessories"
"C14.2","14.2 Manufacture of articles of fur"
"C14.20","14.20 Manufacture of articles of fur"
"C14.3","14.3 Manufacture of knitted and crocheted apparel"
"C14.31","14.31 Manufacture of knitted and crocheted hosiery"
"C14.39","14.39 Manufacture of other knitted and crocheted apparel"
"C15","15 Manufacture of leather and related products"
"C15.1","15.1 Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
"C15.11","15.11 Tanning and dressing of leather; dressing and dyeing of fur"
"C15.12","15.12 Manufacture of luggage, handbags and the like, saddlery and harness"
"C15.2","15.2 Manufacture of footwear"
"C15.20","15.20 Manufacture of footwear"
"C16","16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"C16.1","16.1 Sawmilling and planing of wood"
"C16.10","16.10 Sawmilling and planing of wood"
"C16.2","16.2 Manufacture of products of wood, cork, straw and plaiting materials"
"C16.21","16.21 Manufacture of veneer sheets and wood-based panels"
"C16.22","16.22 Manufacture of assembled parquet floors"
"C16.23","16.23 Manufacture of other builders' carpentry and joinery"
"C16.24","16.24 Manufacture of wooden containers"
"C16.29","16.29 Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"C17","17 Manufacture of paper and paper products"
"C17.1","17.1 Manufacture of pulp, paper and paperboard"
"C17.11","17.11 Manufacture of pulp"
"C17.12","17.12 Manufacture of paper and paperboard"
"C17.2","17.2 Manufacture of articles of paper and paperboard"
"C17.21","17.21 Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"C17.22","17.22 Manufacture of household and sanitary goods and of toilet requisites"
"C17.23","17.23 Manufacture of paper stationery"
"C17.24","17.24 Manufacture of wallpaper"
"C17.29","17.29 Manufacture of other articles of paper and paperboard"
"C18","18 Printing and reproduction of recorded media"
"C18.1","18.1 Printing and service activities related to printing"
"C18.11","18.11 Printing of newspapers"
"C18.12","18.12 Other printing"
"C18.13","18.13 Pre-press and pre-media services"
"C18.14","18.14 Binding and related services"
"C18.2","18.2 Reproduction of recorded media"
"C18.20","18.20 Reproduction of recorded media"
"C19","19 Manufacture of coke and refined petroleum products"
"C19.1","19.1 Manufacture of coke oven products"
"C19.10","19.10 Manufacture of coke oven products"
"C19.2","19.2 Manufacture of refined petroleum products"
"C19.20","19.20 Manufacture of refined petroleum products"
"C20","20 Manufacture of chemicals and chemical products"
"C20.1","20.1 Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms"
"C20.11","20.11 Manufacture of industrial gases"
"C20.12","20.12 Manufacture of dyes and pigments"
"C20.13","20.13 Manufacture of other inorganic basic chemicals"
"C20.14","20.14 Manufacture of other organic basic chemicals"
"C20.15","20.15 Manufacture of fertilisers and nitrogen compounds"
"C20.16","20.16 Manufacture of plastics in primary forms"
"C20.17","20.17 Manufacture of synthetic rubber in primary forms"
"C20.2","20.2 Manufacture of pesticides and other agrochemical products"
"C20.20","20.20 Manufacture of pesticides and other agrochemical products"
"C20.3","20.3 Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"C20.30","20.30 Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"C20.4","20.4 Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"C20.41","20.41 Manufacture of soap and detergents, cleaning and polishing preparations"
"C20.42","20.42 Manufacture of perfumes and toilet preparations"
"C20.5","20.5 Manufacture of other chemical products"
"C20.51","20.51 Manufacture of explosives"
"C20.52","20.52 Manufacture of glues"
"C20.53","20.53 Manufacture of essential oils"
"C20.59","20.59 Manufacture of other chemical products n.e.c."
"C20.6","20.6 Manufacture of man-made fibres"
"C20.60","20.60 Manufacture of man-made fibres"
"C21","21 Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"C21.1","21.1 Manufacture of basic pharmaceutical products"
"C21.10","21.10 Manufacture of basic pharmaceutical products"
"C21.2","21.2 Manufacture of pharmaceutical preparations"
"C21.20","21.20 Manufacture of pharmaceutical preparations"
"C22","22 Manufacture of rubber and plastic products"
"C22.1","22.1 Manufacture of rubber products"
"C22.11","22.11 Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"C22.19","22.19 Manufacture of other rubber products"
"C22.2","22.2 Manufacture of plastic products"
"C22.21","22.21 Manufacture of plastic plates, sheets, tubes and profiles"
"C22.22","22.22 Manufacture of plastic packing goods"
"C22.23","22.23 Manufacture of buildersâ€™ ware of plastic"
"C22.29","22.29 Manufacture of other plastic products"
"C23","23 Manufacture of other non-metallic mineral products"
"C23.1","23.1 Manufacture of glass and glass products"
"C23.11","23.11 Manufacture of flat glass"
"C23.12","23.12 Shaping and processing of flat glass"
"C23.13","23.13 Manufacture of hollow glass"
"C23.14","23.14 Manufacture of glass fibres"
"C23.19","23.19 Manufacture and processing of other glass, including technical glassware"
"C23.2","23.2 Manufacture of refractory products"
"C23.20","23.20 Manufacture of refractory products"
"C23.3","23.3 Manufacture of clay building materials"
"C23.31","23.31 Manufacture of ceramic tiles and flags"
"C23.32","23.32 Manufacture of bricks, tiles and construction products, in baked clay"
"C23.4","23.4 Manufacture of other porcelain and ceramic products"
"C23.41","23.41 Manufacture of ceramic household and ornamental articles"
"C23.42","23.42 Manufacture of ceramic sanitary fixtures"
"C23.43","23.43 Manufacture of ceramic insulators and insulating fittings"
"C23.44","23.44 Manufacture of other technical ceramic products"
"C23.49","23.49 Manufacture of other ceramic products"
"C23.5","23.5 Manufacture of cement, lime and plaster"
"C23.51","23.51 Manufacture of cement"
"C23.52","23.52 Manufacture of lime and plaster"
"C23.6","23.6 Manufacture of articles of concrete, cement and plaster"
"C23.61","23.61 Manufacture of concrete products for construction purposes"
"C23.62","23.62 Manufacture of plaster products for construction purposes"
"C23.63","23.63 Manufacture of ready-mixed concrete"
"C23.64","23.64 Manufacture of mortars"
"C23.65","23.65 Manufacture of fibre cement"
"C23.69","23.69 Manufacture of other articles of concrete, plaster and cement"
"C23.7","23.7 Cutting, shaping and finishing of stone"
"C23.70","23.70 Cutting, shaping and finishing of stone"
"C23.9","23.9 Manufacture of abrasive products and non-metallic mineral products n.e.c."
"C23.91","23.91 Production of abrasive products"
"C23.99","23.99 Manufacture of other non-metallic mineral products n.e.c."
"C24","24 Manufacture of basic metals"
"C24.1","24.1 Manufacture of basic iron and steel and of ferro-alloys"
"C24.10","24.10 Manufacture of basic iron and steel and of ferro-alloys"
"C24.2","24.2 Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"C24.20","24.20 Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
"C24.3","24.3 Manufacture of other products of first processing of steel"
"C24.31","24.31 Cold drawing of bars"
"C24.32","24.32 Cold rolling of narrow strip"
"C24.33","24.33 Cold forming or folding"
"C24.34","24.34 Cold drawing of wire"
"C24.4","24.4 Manufacture of basic precious and other non-ferrous metals"
"C24.41","24.41 Precious metals production"
"C24.42","24.42 Aluminium production"
"C24.43","24.43 Lead, zinc and tin production"
"C24.44","24.44 Copper production"
"C24.45","24.45 Other non-ferrous metal production"
"C24.46","24.46 Processing of nuclear fuel"
"C24.5","24.5 Casting of metals"
"C24.51","24.51 Casting of iron"
"C24.52","24.52 Casting of steel"
"C24.53","24.53 Casting of light metals"
"C24.54","24.54 Casting of other non-ferrous metals"
"C25","25 Manufacture of fabricated metal products, except machinery and equipment"
"C25.1","25.1 Manufacture of structural metal products"
"C25.11","25.11 Manufacture of metal structures and parts of structures"
"C25.12","25.12 Manufacture of doors and windows of metal"
"C25.2","25.2 Manufacture of tanks, reservoirs and containers of metal"
"C25.21","25.21 Manufacture of central heating radiators and boilers"
"C25.29","25.29 Manufacture of other tanks, reservoirs and containers of metal"
"C25.3","25.3 Manufacture of steam generators, except central heating hot water boilers"
"C25.30","25.30 Manufacture of steam generators, except central heating hot water boilers"
"C25.4","25.4 Manufacture of weapons and ammunition"
"C25.40","25.40 Manufacture of weapons and ammunition"
"C25.5","25.5 Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"C25.50","25.50 Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"C25.6","25.6 Treatment and coating of metals; machining"
"C25.61","25.61 Treatment and coating of metals"
"C25.62","25.62 Machining"
"C25.7","25.7 Manufacture of cutlery, tools and general hardware"
"C25.71","25.71 Manufacture of cutlery"
"C25.72","25.72 Manufacture of locks and hinges"
"C25.73","25.73 Manufacture of tools"
"C25.9","25.9 Manufacture of other fabricated metal products"
"C25.91","25.91 Manufacture of steel drums and similar containers"
"C25.92","25.92 Manufacture of light metal packaging"
"C25.93","25.93 Manufacture of wire products, chain and springs"
"C25.94","25.94 Manufacture of fasteners and screw machine products"
"C25.99","25.99 Manufacture of other fabricated metal products n.e.c."
"C26","26 Manufacture of computer, electronic and optical products"
"C26.1","26.1 Manufacture of electronic components and boards"
"C26.11","26.11 Manufacture of electronic components"
"C26.12","26.12 Manufacture of loaded electronic boards"
"C26.2","26.2 Manufacture of computers and peripheral equipment"
"C26.20","26.20 Manufacture of computers and peripheral equipment"
"C26.3","26.3 Manufacture of communication equipment"
"C26.30","26.30 Manufacture of communication equipment"
"C26.4","26.4 Manufacture of consumer electronics"
"C26.40","26.40 Manufacture of consumer electronics"
"C26.5","26.5 Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks"
"C26.51","26.51 Manufacture of instruments and appliances for measuring, testing and navigation"
"C26.52","26.52 Manufacture of watches and clocks"
"C26.6","26.6 Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"C26.60","26.60 Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"C26.7","26.7 Manufacture of optical instruments and photographic equipment"
"C26.70","26.70 Manufacture of optical instruments and photographic equipment"
"C26.8","26.8 Manufacture of magnetic and optical media"
"C26.80","26.80 Manufacture of magnetic and optical media"
"C27","27 Manufacture of electrical equipment"
"C27.1","27.1 Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
"C27.11","27.11 Manufacture of electric motors, generators and transformers"
"C27.12","27.12 Manufacture of electricity distribution and control apparatus"
"C27.2","27.2 Manufacture of batteries and accumulators"
"C27.20","27.20 Manufacture of batteries and accumulators"
"C27.3","27.3 Manufacture of wiring and wiring devices"
"C27.31","27.31 Manufacture of fibre optic cables"
"C27.32","27.32 Manufacture of other electronic and electric wires and cables"
"C27.33","27.33 Manufacture of wiring devices"
"C27.4","27.4 Manufacture of electric lighting equipment"
"C27.40","27.40 Manufacture of electric lighting equipment"
"C27.5","27.5 Manufacture of domestic appliances"
"C27.51","27.51 Manufacture of electric domestic appliances"
"C27.52","27.52 Manufacture of non-electric domestic appliances"
"C27.9","27.9 Manufacture of other electrical equipment"
"C27.90","27.90 Manufacture of other electrical equipment"
"C28","28 Manufacture of machinery and equipment n.e.c."
"C28.1","28.1 Manufacture of general-purpose machinery"
"C28.11","28.11 Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
"C28.12","28.12 Manufacture of fluid power equipment"
"C28.13","28.13 Manufacture of other pumps and compressors"
"C28.14","28.14 Manufacture of other taps and valves"
"C28.15","28.15 Manufacture of bearings, gears, gearing and driving elements"
"C28.2","28.2 Manufacture of other general-purpose machinery"
"C28.21","28.21 Manufacture of ovens, furnaces and furnace burners"
"C28.22","28.22 Manufacture of lifting and handling equipment"
"C28.23","28.23 Manufacture of office machinery and equipment (except computers and peripheral equipment)"
"C28.24","28.24 Manufacture of power-driven hand tools"
"C28.25","28.25 Manufacture of non-domestic cooling and ventilation equipment"
"C28.29","28.29 Manufacture of other general-purpose machinery n.e.c."
"C28.3","28.3 Manufacture of agricultural and forestry machinery"
"C28.30","28.30 Manufacture of agricultural and forestry machinery"
"C28.4","28.4 Manufacture of metal forming machinery and machine tools"
"C28.41","28.41 Manufacture of metal forming machinery"
"C28.49","28.49 Manufacture of other machine tools"
"C28.9","28.9 Manufacture of other special-purpose machinery"
"C28.91","28.91 Manufacture of machinery for metallurgy"
"C28.92","28.92 Manufacture of machinery for mining, quarrying and construction"
"C28.93","28.93 Manufacture of machinery for food, beverage and tobacco processing"
"C28.94","28.94 Manufacture of machinery for textile, apparel and leather production"
"C28.95","28.95 Manufacture of machinery for paper and paperboard production"
"C28.96","28.96 Manufacture of plastics and rubber machinery"
"C28.99","28.99 Manufacture of other special-purpose machinery n.e.c."
"C29","29 Manufacture of motor vehicles, trailers and semi-trailers"
"C29.1","29.1 Manufacture of motor vehicles"
"C29.10","29.10 Manufacture of motor vehicles"
"C29.2","29.2 Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"C29.20","29.20 Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers"
"C29.3","29.3 Manufacture of parts and accessories for motor vehicles"
"C29.31","29.31 Manufacture of electrical and electronic equipment for motor vehicles"
"C29.32","29.32 Manufacture of other parts and accessories for motor vehicles"
"C30","30 Manufacture of other transport equipment"
"C30.1","30.1 Building of ships and boats"
"C30.11","30.11 Building of ships and floating structures"
"C30.12","30.12 Building of pleasure and sporting boats"
"C30.2","30.2 Manufacture of railway locomotives and rolling stock"
"C30.20","30.20 Manufacture of railway locomotives and rolling stock"
"C30.3","30.3 Manufacture of air and spacecraft and related machinery"
"C30.30","30.30 Manufacture of air and spacecraft and related machinery"
"C30.4","30.4 Manufacture of military fighting vehicles"
"C30.40","30.40 Manufacture of military fighting vehicles"
"C30.9","30.9 Manufacture of transport equipment n.e.c."
"C30.91","30.91 Manufacture of motorcycles"
"C30.92","30.92 Manufacture of bicycles and invalid carriages"
"C30.99","30.99 Manufacture of other transport equipment n.e.c."
"C31","31 Manufacture of furniture"
"C31.0","31.0 Manufacture of furniture"
"C31.01","31.01 Manufacture of office and shop furniture"
"C31.02","31.02 Manufacture of kitchen furniture"
"C31.03","31.03 Manufacture of mattresses"
"C31.09","31.09 Manufacture of other furniture"
"C32","32 Other manufacturing"
"C32.1","32.1 Manufacture of jewellery, bijouterie and related articles"
"C32.11","32.11 Striking of coins"
"C32.12","32.12 Manufacture of jewellery and related articles"
"C32.13","32.13 Manufacture of imitation jewellery and related articles"
"C32.2","32.2 Manufacture of musical instruments"
"C32.20","32.20 Manufacture of musical instruments"
"C32.3","32.3 Manufacture of sports goods"
"C32.30","32.30 Manufacture of sports goods"
"C32.4","32.4 Manufacture of games and toys"
"C32.40","32.40 Manufacture of games and toys"
"C32.5","32.5 Manufacture of medical and dental instruments and supplies"
"C32.50","32.50 Manufacture of medical and dental instruments and supplies"
"C32.9","32.9 Manufacturing n.e.c."
"C32.91","32.91 Manufacture of brooms and brushes"
"C32.99","32.99 Other manufacturing n.e.c."
"C33","33 Repair and installation of machinery and equipment"
"C33.1","33.1 Repair of fabricated metal products, machinery and equipment"
"C33.11","33.11 Repair of fabricated metal products"
"C33.12","33.12 Repair of machinery"
"C33.13","33.13 Repair of electronic and optical equipment"
"C33.14","33.14 Repair of electrical equipment"
"C33.15","33.15 Repair and maintenance of ships and boats"
"C33.16","33.16 Repair and maintenance of aircraft and spacecraft"
"C33.17","33.17 Repair and maintenance of other transport equipment"
"C33.19","33.19 Repair of other equipment"
"C33.2","33.2 Installation of industrial machinery and equipment"
"C33.20","33.20 Installation of industrial machinery and equipment"
"D35","35 Electricity, gas, steam and air conditioning supply"
"D35.1","35.1 Electric power generation, transmission and distribution"
"D35.11","35.11 Production of electricity"
"D35.12","35.12 Transmission of electricity"
"D35.13","35.13 Distribution of electricity"
"D35.14","35.14 Trade of electricity"
"D35.2","35.2 Manufacture of gas; distribution of gaseous fuels through mains"
"D35.21","35.21 Manufacture of gas"
"D35.22","35.22 Distribution of gaseous fuels through mains"
"D35.23","35.23 Trade of gas through mains"
"D35.3","35.3 Steam and air conditioning supply"
"D35.30","35.30 Steam and air conditioning supply"
"E36","36 Water collection, treatment and supply"
"E36.0","36.0 Water collection, treatment and supply"
"E36.00","36.00 Water collection, treatment and supply"
"E37","37 Sewerage"
"E37.0","37.0 Sewerage"
"E37.00","37.00 Sewerage"
"E38","38 Waste collection, treatment and disposal activities; materials recovery"
"E38.1","38.1 Waste collection"
"E38.11","38.11 Collection of non-hazardous waste"
"E38.12","38.12 Collection of hazardous waste"
"E38.2","38.2 Waste treatment and disposal"
"E38.21","38.21 Treatment and disposal of non-hazardous waste"
"E38.22","38.22 Treatment and disposal of hazardous waste"
"E38.3","38.3 Materials recovery"
"E38.31","38.31 Dismantling of wrecks"
"E38.32","38.32 Recovery of sorted materials"
"E39","39 Remediation activities and other waste management services"
"E39.0","39.0 Remediation activities and other waste management services"
"E39.00","39.00 Remediation activities and other waste management services"
"F41","41 Construction of buildings"
"F41.1","41.1 Development of building projects"
"F41.10","41.10 Development of building projects"
"F41.2","41.2 Construction of residential and non-residential buildings"
"F41.20","41.20 Construction of residential and non-residential buildings"
"F42","42 Civil engineering"
"F42.1","42.1 Construction of roads and railways"
"F42.11","42.11 Construction of roads and motorways"
"F42.12","42.12 Construction of railways and underground railways"
"F42.13","42.13 Construction of bridges and tunnels"
"F42.2","42.2 Construction of utility projects"
"F42.21","42.21 Construction of utility projects for fluids"
"F42.22","42.22 Construction of utility projects for electricity and telecommunications"
"F42.9","42.9 Construction of other civil engineering projects"
"F42.91","42.91 Construction of water projects"
"F42.99","42.99 Construction of other civil engineering projects n.e.c."
"F43","43 Specialised construction activities"
"F43.1","43.1 Demolition and site preparation"
"F43.11","43.11 Demolition"
"F43.12","43.12 Site preparation"
"F43.13","43.13 Test drilling and boring"
"F43.2","43.2 Electrical, plumbing and other construction installation activities"
"F43.21","43.21 Electrical installation"
"F43.22","43.22 Plumbing, heat and air-conditioning installation"
"F43.29","43.29 Other construction installation"
"F43.3","43.3 Building completion and finishing"
"F43.31","43.31 Plastering"
"F43.32","43.32 Joinery installation"
"F43.33","43.33 Floor and wall covering"
"F43.34","43.34 Painting and glazing"
"F43.39","43.39 Other building completion and finishing"
"F43.9","43.9 Other specialised construction activities"
"F43.91","43.91 Roofing activities"
"F43.99","43.99 Other specialised construction activities n.e.c."
"G45","45 Wholesale and retail trade and repair of motor vehicles and motorcycles"
"G45.1","45.1 Sale of motor vehicles"
"G45.11","45.11 Sale of cars and light motor vehicles"
"G45.19","45.19 Sale of other motor vehicles"
"G45.2","45.2 Maintenance and repair of motor vehicles"
"G45.20","45.20 Maintenance and repair of motor vehicles"
